Id;GroupCode;AccountingCode;Major;Grouping
1;"1018 ";"309  ";;
1298;7010;2011;B;2.3.2
1299;1005;141;A;1.4.2
1300;7000;1114;B;2.3.2
1343;1008;266;A;3.2
6;"1001 ";"111  ";A;1.1
7;"1001 ";"112  ";A;1.1
1345;7037;3064;B;2.3.2
1346;7038;3064;B;2.3.2
1347;1001;001;A;1.1
1349;7036;3115;B;2.3.2
12;"1001 ";"004  ";A;1.1
16;"1001 ";"240  ";A;1.1
17;"1001 ";"730  ";A;1.1
27;"1001 ";"009  ";A;1.1
29;"1004 ";"128  ";A;1.2
30;"1002 ";"117  ";A;"1.3.1    "
32;"1003 ";"125  ";A;"1.3.2    "
33;"1003 ";"122  ";A;"1.3.2    "
34;"1003 ";"121  ";A;"1.3.2    "
35;"1003 ";"124  ";A;"1.3.2    "
36;"1003 ";"127  ";A;"1.3.2    "
37;"1003 ";"363  ";A;"1.3.2    "
38;"1003 ";"123  ";A;"1.3.3    "
40;"1005 ";"135  ";A;"1.4.2    "
41;"1005 ";"136  ";A;"1.4.2    "
42;"1005 ";"137  ";A;"1.4.2    "
43;"1005 ";"138  ";A;"1.4.2    "
44;"1005 ";"140  ";A;"1.4.2    "
45;"1005 ";"142  ";A;"1.4.2    "
46;"1005 ";"143  ";A;"1.4.2    "
47;"1005 ";"145  ";A;"1.4.2    "
48;"1005 ";"146  ";A;"1.4.2    "
49;"1005 ";"752  ";A;"1.4.2    "
50;"1005 ";"916  ";A;"1.4.2    "
51;"1005 ";"416  ";A;"1.4.2    "
52;"1005 ";"743  ";A;"1.4.2    "
53;"1005 ";"148  ";A;"1.4.2    "
54;"1005 ";"153  ";A;"1.4.2    "
55;"1005 ";"744  ";A;"1.4.2    "
56;"1005 ";"415  ";A;"1.4.2    "
57;"1005 ";"257  ";A;"1.4.3    "
58;"1005 ";"130  ";A;"1.4.4    "
59;"1005 ";"258  ";A;"1.4.4    "
60;"1005 ";"318  ";A;"1.4.5    "
61;"1005 ";"316  ";A;"1.4.5    "
62;"1005 ";"317  ";A;"1.4.5    "
63;"1006 ";"154  ";A;1.5
64;"1006 ";"152  ";A;1.5
65;"1006 ";"800  ";A;1.5
66;"1006 ";"155  ";A;1.5
67;"1006 ";"150  ";A;1.5
68;"1006 ";"157  ";A;1.5
69;"1006 ";"156  ";A;1.5
70;"1006 ";"551  ";A;1.5
71;"1006 ";"158  ";A;1.5
72;"1007 ";"908  ";A;2.1
73;"1007 ";"906  ";A;2.1
74;"1007 ";"198  ";A;2.1
75;"1007 ";"902  ";A;2.1
76;"1007 ";"166  ";A;2.1
77;"1007 ";"191  ";A;2.1
78;"1007 ";"177  ";A;2.1
79;"1007 ";"171  ";A;2.1
80;"1007 ";"900  ";A;2.1
81;"1007 ";"901  ";A;2.1
82;"1007 ";"159  ";A;2.1
83;"1007 ";"160  ";A;2.1
84;"1007 ";"162  ";A;2.1
85;"1007 ";"165  ";A;2.1
86;"1007 ";"169  ";A;2.1
87;"1007 ";"174  ";A;2.1
88;"1007 ";"173  ";A;2.1
89;"1007 ";"172  ";A;2.1
90;"1007 ";"164  ";A;2.1
91;"1007 ";"161  ";A;2.1
92;"1007 ";"681  ";A;2.1
93;"1007 ";"175  ";A;2.1
94;"1007 ";"179  ";A;2.1
95;"1007 ";"167  ";A;2.1
96;"1007 ";"163  ";A;2.1
97;"1007 ";"176  ";A;2.1
98;"1007 ";"178  ";A;2.1
99;"1007 ";"181  ";A;2.2
100;"1007 ";"186  ";A;2.2
101;"1007 ";"190  ";A;2.2
102;"1007 ";"194  ";A;2.2
103;"1007 ";"193  ";A;2.2
104;"1007 ";"197  ";A;2.2
105;"1007 ";"185  ";A;2.2
106;"1007 ";"184  ";A;2.2
107;"1007 ";"543  ";A;2.2
108;"1007 ";"180  ";A;2.2
109;"1007 ";"192  ";A;2.2
110;"1007 ";"183  ";A;2.2
111;"1007 ";"168  ";A;2.2
112;"1007 ";"182  ";A;2.2
113;"1007 ";"905  ";A;2.2
114;"1007 ";"903  ";A;2.2
115;"1007 ";"187  ";A;2.2
116;"1007 ";"170  ";A;2.2
117;"1007 ";"189  ";A;2.2
118;"1007 ";"188  ";A;2.2
119;"1007 ";"200  ";A;2.2
120;"1007 ";"907  ";A;2.2
121;"1007 ";"909  ";A;2.2
122;"1007 ";"904  ";A;2.2
123;"1007 ";"199  ";A;2.2
124;"1008 ";"265  ";A;3.1
125;"1008 ";"195  ";A;3.2
126;"1006 ";"325  ";A;3.2
127;"1008 ";"196  ";A;3.3
128;"1006 ";"324  ";A;3.3
129;"1008 ";"998  ";A;3.3
130;"1009 ";"224  ";B;"1.1.1    "
131;"1011 ";"201  ";B;"1.1.2.1  "
132;"1011 ";"216  ";B;"1.1.2.1  "
133;"1011 ";"560  ";B;"1.1.2.1  "
134;"1011 ";"565  ";B;"1.1.2.1  "
135;"1014 ";"208  ";B;"1.1.2.2  "
136;"1014 ";"205  ";B;"1.1.2.2  "
137;"1014 ";"206  ";B;"1.1.2.2  "
138;"1014 ";"207  ";B;"1.1.2.2  "
139;"1014 ";"203  ";B;"1.1.2.2  "
141;"1014 ";"218  ";B;"1.1.2.2  "
142;"1014 ";"219  ";B;"1.1.2.2  "
143;"1014 ";"214  ";B;"1.1.2.2  "
144;"1012 ";"217  ";B;"1.1.3.1  "
145;"1012 ";"226  ";B;"1.1.3.1  "
146;"1012 ";"204  ";B;"1.1.3.1  "
147;"1012 ";"211  ";B;"1.1.3.1  "
148;"1012 ";"210  ";B;"1.1.3.1  "
149;"1012 ";"212  ";B;"1.1.3.1  "
150;"1012 ";"213  ";B;"1.1.3.1  "
151;"1012 ";"920  ";B;"1.1.3.1  "
152;"1012 ";"921  ";B;"1.1.3.1  "
153;"1012 ";"326  ";B;"1.1.3.1  "
154;"1012 ";"202  ";B;"1.1.3.1  "
155;"1013 ";"228  ";B;"1.1.3.2  "
156;"1013 ";"220  ";B;"1.1.3.2  "
157;"1013 ";"223  ";B;"1.1.3.2  "
158;"1013 ";"215  ";B;"1.1.4    "
159;"1010 ";"225  ";B;"1.1.5    "
160;"1015 ";"227  ";B;1.2
161;"1016 ";"126  ";B;1.3
162;"1018 ";"308  ";B;1.3
163;"1018 ";"301  ";B;2.1
164;"1018 ";"307  ";B;2.2
165;"7000 ";"1107 ";B;"2.3.2    "
166;"7000 ";"1108 ";B;"2.3.2    "
167;"7029 ";"5002 ";B;"2.3.2    "
168;"7010 ";"2003 ";B;"2.3.2    "
169;"7010 ";"2001 ";B;"2.3.2    "
170;"7010 ";"2006 ";B;"2.3.2    "
171;"7010 ";"2008 ";B;"2.3.2    "
172;"7010 ";"2018 ";B;"2.3.2    "
173;"7010 ";"2021 ";B;"2.3.2    "
174;"7010 ";"2015 ";B;"2.3.2    "
175;"8000 ";"3006 ";B;"2.3.2    "
176;"8010 ";"4200 ";B;"2.3.2    "
177;"8010 ";"9102 ";B;"2.3.2    "
178;"8010 ";"9103 ";B;"2.3.2    "
179;"7029 ";"3018 ";B;"2.3.2    "
180;"7029 ";"3130 ";B;"2.3.2    "
181;"8000 ";"3102 ";B;"2.3.2    "
182;"8000 ";"3103 ";B;"2.3.2    "
183;"8010 ";"9104 ";B;"2.3.2    "
184;"8010 ";"4100 ";B;"2.3.2    "
185;"7029 ";"3127 ";B;"2.3.2    "
186;"8010 ";"5200 ";B;"2.3.2    "
187;"8000 ";"3078 ";B;"2.3.2    "
188;"7029 ";"3019 ";B;"2.3.2    "
189;"8010 ";"5100 ";B;"2.3.2    "
190;"8000 ";"1074 ";B;"2.3.2    "
191;"8010 ";"9101 ";B;"2.3.2    "
192;"8000 ";"2034 ";B;"2.3.2    "
193;"7029 ";"3050 ";B;"2.3.2    "
194;"7029 ";"3144 ";B;"2.3.2    "
195;"7029 ";"3128 ";B;"2.3.2    "
196;"7029 ";"3155 ";B;"2.3.2    "
197;"7029 ";"3129 ";B;"2.3.2    "
198;"7029 ";"3150 ";B;"2.3.2    "
199;"7029 ";"3054 ";B;"2.3.2    "
200;"7029 ";"3131 ";B;"2.3.2    "
201;"7029 ";"3132 ";B;"2.3.2    "
202;"8000 ";"3900 ";B;"2.3.2    "
203;"7033 ";"3131 ";B;"2.3.2    "
204;"7034 ";"3038 ";B;"2.3.2    "
205;"7034 ";"3052 ";B;"2.3.2    "
206;"7034 ";"3061 ";B;"2.3.2    "
207;"7034 ";"3211 ";B;"2.3.2    "
208;"7034 ";"3005 ";B;"2.3.2    "
209;"7036 ";"3200 ";B;"2.3.2    "
210;"7036 ";"3052 ";B;"2.3.2    "
211;"7038 ";"3052 ";B;"2.3.2    "
212;"7038 ";"3038 ";B;"2.3.2    "
213;"7040 ";"3052 ";B;"2.3.2    "
214;"7040 ";"3038 ";B;"2.3.2    "
215;"7042 ";"3038 ";B;"2.3.2    "
216;"7042 ";"3052 ";B;"2.3.2    "
217;"7042 ";"3211 ";B;"2.3.2    "
218;"7044 ";"3211 ";B;"2.3.2    "
219;"7044 ";"3067 ";B;"2.3.2    "
220;"7044 ";"3038 ";B;"2.3.2    "
221;"7044 ";"3052 ";B;"2.3.2    "
222;"7044 ";"3016 ";B;"2.3.2    "
223;"7046 ";"3052 ";B;"2.3.2    "
224;"7046 ";"3211 ";B;"2.3.2    "
225;"7046 ";"3038 ";B;"2.3.2    "
226;"7048 ";"3200 ";B;"2.3.2    "
227;"7050 ";"3200 ";B;"2.3.2    "
228;"7052 ";"3050 ";B;"2.3.2    "
229;"7052 ";"3203 ";B;"2.3.2    "
230;"7054 ";"3050 ";B;"2.3.2    "
231;"7056 ";"3050 ";B;"2.3.2    "
1275;1014;221;B;1.1.2.2
233;"7060 ";"3211 ";B;"2.3.2    "
234;"7044 ";"3061 ";B;"2.3.2    "
235;"7060 ";"3034 ";B;"2.3.2    "
236;"7035 ";"3115 ";B;"2.3.2    "
237;"7060 ";"3205 ";B;"2.3.2    "
238;"7036 ";"3054 ";B;"2.3.2    "
239;"7060 ";"3068 ";B;"2.3.2    "
240;"7060 ";"5002 ";B;"2.3.2    "
241;"7044 ";"4000 ";B;"2.3.2    "
242;"7034 ";"3002 ";B;"2.3.2    "
243;"7052 ";"3900 ";B;"2.3.2    "
244;"7030 ";"3142 ";B;"2.3.2    "
245;"7032 ";"3142 ";B;"2.3.2    "
246;"7034 ";"3142 ";B;"2.3.2    "
247;"7036 ";"3208 ";B;"2.3.2    "
248;"7038 ";"3142 ";B;"2.3.2    "
249;"7040 ";"3142 ";B;"2.3.2    "
250;"7042 ";"3142 ";B;"2.3.2    "
251;"7044 ";"3142 ";B;"2.3.2    "
252;"7046 ";"3142 ";B;"2.3.2    "
253;"7048 ";"3208 ";B;"2.3.2    "
254;"7050 ";"3208 ";B;"2.3.2    "
255;"7052 ";"3208 ";B;"2.3.2    "
256;"7054 ";"3208 ";B;"2.3.2    "
257;"7056 ";"3208 ";B;"2.3.2    "
1276;1012;222;B;1.1.3.1
259;"7060 ";"3208 ";B;"2.3.2    "
260;"7029 ";"3214 ";B;"2.3.2    "
261;"7029 ";"3052 ";B;"2.3.2    "
262;"7033 ";"3052 ";B;"2.3.2    "
263;"7046 ";"3061 ";B;"2.3.2    "
264;"8000 ";"3001 ";B;"2.3.2    "
265;"7010 ";"7777 ";B;"2.3.2    "
266;"7037 ";"0001 ";B;"2.3.2    "
267;"7038 ";"0002 ";B;"2.3.2    "
268;"7029 ";"0001 ";B;"2.3.2    "
269;"7030 ";"0002 ";B;"2.3.2    "
270;"7033 ";"3214 ";B;"2.3.2    "
271;"7029 ";"3020 ";B;"2.3.2    "
272;"7039 ";"3020 ";B;"2.3.2    "
273;"7037 ";"3020 ";B;"2.3.2    "
274;"7046 ";"3212 ";B;"2.3.2    "
275;"7048 ";"3215 ";B;"2.3.2    "
276;"7042 ";"3212 ";B;"2.3.2    "
277;"7044 ";"3212 ";B;"2.3.2    "
278;"7034 ";"3212 ";B;"2.3.2    "
279;"7038 ";"3212 ";B;"2.3.2    "
280;"7040 ";"3212 ";B;"2.3.2    "
281;"7030 ";"3212 ";B;"2.3.2    "
282;"7033 ";"3020 ";B;"2.3.2    "
283;"7060 ";"3061 ";B;"2.3.2    "
284;"7039 ";"3214 ";B;"2.3.2    "
285;"7035 ";"3214 ";B;"2.3.2    "
286;"7029 ";"6000 ";B;"2.3.2    "
287;"7031 ";"6000 ";B;"2.3.2    "
288;"7031 ";"3214 ";B;"2.3.2    "
289;"8000 ";"5555 ";B;"2.3.2    "
290;"7033 ";"3055 ";B;"2.3.2    "
291;"7037 ";"3055 ";B;"2.3.2    "
292;"7037 ";"3214 ";B;"2.3.2    "
293;"8000 ";"4001 ";B;"2.3.2    "
294;"7031 ";"3020 ";B;"2.3.2    "
295;"7060 ";"3109 ";B;"2.3.2    "
296;"7000 ";"1112 ";B;"2.3.2    "
297;"7010 ";"2002 ";B;"2.3.2    "
299;"7000 ";"1111 ";B;"2.3.2    "
300;"7030 ";"3071 ";B;"2.3.2    "
301;"7030 ";"3143 ";B;"2.3.2    "
302;"7030 ";"3059 ";B;"2.3.2    "
303;"7031 ";"3035 ";B;"2.3.2    "
304;"7031 ";"3039 ";B;"2.3.2    "
305;"7032 ";"3064 ";B;"2.3.2    "
306;"7032 ";"3071 ";B;"2.3.2    "
307;"7032 ";"3143 ";B;"2.3.2    "
308;"7032 ";"6001 ";B;"2.3.2    "
309;"7062 ";"3071 ";B;"2.3.2    "
310;"7062 ";"3143 ";B;"2.3.2    "
311;"7062 ";"3059 ";B;"2.3.2    "
312;"7034 ";"3071 ";B;"2.3.2    "
313;"7034 ";"3064 ";B;"2.3.2    "
314;"7034 ";"3059 ";B;"2.3.2    "
315;"7035 ";"3107 ";B;"2.3.2    "
316;"7035 ";"3017 ";B;"2.3.2    "
317;"7035 ";"3105 ";B;"2.3.2    "
318;"7035 ";"3106 ";B;"2.3.2    "
319;"7036 ";"3064 ";B;"2.3.2    "
320;"7036 ";"3071 ";B;"2.3.2    "
321;"7036 ";"3217 ";B;"2.3.2    "
322;"7036 ";"3059 ";B;"2.3.2    "
323;"7038 ";"3071 ";B;"2.3.2    "
324;"7038 ";"3143 ";B;"2.3.2    "
325;"7038 ";"3059 ";B;"2.3.2    "
326;"7040 ";"3071 ";B;"2.3.2    "
327;"7040 ";"3143 ";B;"2.3.2    "
328;"7040 ";"3059 ";B;"2.3.2    "
329;"7042 ";"3064 ";B;"2.3.2    "
330;"7042 ";"3071 ";B;"2.3.2    "
331;"7042 ";"3143 ";B;"2.3.2    "
332;"7042 ";"3059 ";B;"2.3.2    "
333;"7044 ";"3064 ";B;"2.3.2    "
334;"7044 ";"3071 ";B;"2.3.2    "
335;"7044 ";"3143 ";B;"2.3.2    "
336;"7044 ";"3059 ";B;"2.3.2    "
337;"7046 ";"3071 ";B;"2.3.2    "
338;"7046 ";"3143 ";B;"2.3.2    "
339;"7046 ";"3059 ";B;"2.3.2    "
340;"7048 ";"3064 ";B;"2.3.2    "
341;"7048 ";"3071 ";B;"2.3.2    "
342;"7048 ";"3217 ";B;"2.3.2    "
343;"7048 ";"3059 ";B;"2.3.2    "
344;"7050 ";"3071 ";B;"2.3.2    "
345;"7050 ";"3218 ";B;"2.3.2    "
346;"7050 ";"3051 ";B;"2.3.2    "
347;"7050 ";"3217 ";B;"2.3.2    "
348;"7050 ";"3059 ";B;"2.3.2    "
349;"7050 ";"3064 ";B;"2.3.2    "
350;"7052 ";"3071 ";B;"2.3.2    "
351;"7052 ";"3217 ";B;"2.3.2    "
352;"7052 ";"3059 ";B;"2.3.2    "
353;"7054 ";"3064 ";B;"2.3.2    "
354;"7054 ";"3071 ";B;"2.3.2    "
355;"7054 ";"3217 ";B;"2.3.2    "
356;"7054 ";"3059 ";B;"2.3.2    "
357;"7060 ";"3064 ";B;"2.3.2    "
358;"7060 ";"3071 ";B;"2.3.2    "
359;"7060 ";"3059 ";B;"2.3.2    "
360;"7052 ";"3064 ";B;"2.3.2    "
361;"7032 ";"3059 ";B;"2.3.2    "
362;"7052 ";"3052 ";B;"2.3.2    "
363;"7048 ";"3219 ";B;"2.3.2    "
364;"7034 ";"3214 ";B;"2.3.2    "
365;"7050 ";"3219 ";B;"2.3.2    "
366;"7052 ";"3219 ";B;"2.3.2    "
367;"7054 ";"3219 ";B;"2.3.2    "
368;"7031 ";"3145 ";B;"2.3.2    "
369;"7033 ";"3145 ";B;"2.3.2    "
370;"7037 ";"3145 ";B;"2.3.2    "
371;"7039 ";"3145 ";B;"2.3.2    "
372;"7030 ";"3148 ";B;"2.3.2    "
373;"7032 ";"3148 ";B;"2.3.2    "
374;"7034 ";"3148 ";B;"2.3.2    "
375;"7036 ";"3219 ";B;"2.3.2    "
376;"7038 ";"3148 ";B;"2.3.2    "
377;"7040 ";"3148 ";B;"2.3.2    "
378;"7042 ";"3148 ";B;"2.3.2    "
379;"7046 ";"3148 ";B;"2.3.2    "
380;"7044 ";"3148 ";B;"2.3.2    "
381;"7062 ";"3148 ";B;"2.3.2    "
382;"7061 ";"3145 ";B;"2.3.2    "
383;"7034 ";"3046 ";B;"2.3.2    "
384;"7036 ";"3046 ";B;"2.3.2    "
385;"7038 ";"3046 ";B;"2.3.2    "
386;"7040 ";"3046 ";B;"2.3.2    "
387;"7042 ";"3046 ";B;"2.3.2    "
388;"7044 ";"3046 ";B;"2.3.2    "
389;"7046 ";"3046 ";B;"2.3.2    "
390;"7048 ";"3046 ";B;"2.3.2    "
391;"7050 ";"3046 ";B;"2.3.2    "
392;"7052 ";"3046 ";B;"2.3.2    "
393;"7054 ";"3046 ";B;"2.3.2    "
394;"7056 ";"3046 ";B;"2.3.2    "
395;"7062 ";"3046 ";B;"2.3.2    "
396;"7064 ";"3046 ";B;"2.3.2    "
397;"7066 ";"3046 ";B;"2.3.2    "
398;"7032 ";"3046 ";B;"2.3.2    "
1279;7034;3139;B;"2.3.2    "
400;"7060 ";"3046 ";B;"2.3.2    "
401;"7056 ";"3064 ";B;"2.3.2    "
402;"7050 ";"3061 ";B;"2.3.2    "
404;"7010 ";"2007 ";B;"2.3.2    "
405;"7010 ";"2009 ";B;"2.3.2    "
406;"7010 ";"2016 ";B;"2.3.2    "
407;"7035 ";"3108 ";B;"2.3.2    "
408;"7035 ";"3110 ";B;"2.3.2    "
409;"7046 ";"3005 ";B;"2.3.2    "
410;"7033 ";"3056 ";B;"2.3.2    "
411;"8000 ";"3104 ";B;"2.3.2    "
412;"7000 ";"1110 ";B;"2.3.2    "
413;"7032 ";"3211 ";B;"2.3.2    "
414;"7036 ";"3061 ";B;"2.3.2    "
415;"7032 ";"3005 ";B;"2.3.2    "
416;"7037 ";"3052 ";B;"2.3.2    "
417;"7044 ";"3005 ";B;"2.3.2    "
418;"7032 ";"3061 ";B;"2.3.2    "
419;"7031 ";"3014 ";B;"2.3.2    "
420;"7032 ";"2000 ";B;"2.3.2    "
421;"7033 ";"3014 ";B;"2.3.2    "
422;"7035 ";"3100 ";B;"2.3.2    "
423;"7039 ";"3014 ";B;"2.3.2    "
424;"7029 ";"3014 ";B;"2.3.2    "
425;"8000 ";"3901 ";B;"2.3.2    "
426;"7037 ";"3014 ";B;"2.3.2    "
427;"7032 ";"6000 ";B;"2.3.2    "
428;"7036 ";"3005 ";B;"2.3.2    "
429;"7029 ";"0003 ";B;"2.3.2    "
430;"7029 ";"3141 ";B;"2.3.2    "
